Biological sciences,Malaysia,2017,410
Biological sciences,Nigeria,2017,230
Biological sciences,Mexico,2017,190
Biological sciences,Japan,2017,190
Biological sciences,Indonesia,2017,120
Biological sciences,Taiwan,2017,140
Biological sciences,Brazil,2017,70
Biological sciences,Hong Kong,2017,180
Biological sciences,Turkey,2017,150
Biological sciences,Oman,2017,70
Biological sciences,Venezuela,2017,120
Biological sciences,United Kingdom,2017,100
Biological sciences,Other locations,2017,2360
Computer sciences,All locations,2016,70630
Computer sciences,China,2016,47430
Computer sciences,Saudi Arabia,2016,13110
Computer sciences,South Korea,2016,970
Computer sciences,India,2016,630
Computer sciences,Kuwait,2016,1480
Computer sciences,Vietnam,2016,750
Computer sciences,Canada,2016,650
Computer sciences,Nepal,2016,930
Computer sciences,Malaysia,2016,160
Computer sciences,Nigeria,2016,440
Computer sciences,Mexico,2016,230
Computer sciences,Japan,2016,90
Computer sciences,Indonesia,2016,90
Computer sciences,Taiwan,2016,370
Computer sciences,Brazil,2016,310
Computer sciences,Hong Kong,2016,80
Computer sciences,Turkey,2016,90
Computer sciences,Oman,2016,90
Computer sciences,Venezuela,2016,70
Computer sciences,United Kingdom,2016,80
Computer sciences,Other locations,2016,2620
Computer sciences,All locations,2017,61460
Computer sciences,China,2017,14680
Computer sciences,Saudi Arabia,2017,36200
Computer sciences,South Korea,2017,1010
Computer sciences,India,2017,650
Computer sciences,Kuwait,2017,1270
Computer sciences,Vietnam,2017,930
Computer sciences,Canada,2017,670
Computer sciences,Nepal,2017,850
Computer sciences,Malaysia,2017,210
Computer sciences,Nigeria,2017,530
Computer sciences,Mexico,2017,260
Computer sciences,Japan,2017,90
Computer sciences,Indonesia,2017,390
Computer sciences,Taiwan,2017,100
Computer sciences,Brazil,2017,390
Computer sciences,Hong Kong,2017,110
Computer sciences,Turkey,2017,80
Computer sciences,Oman,2017,100
Computer sciences,Venezuela,2017,80
Computer sciences,United Kingdom,2017,80
Computer sciences,Other locations,2017,2790
Mathematics,All locations,2016,15780
Mathematics,China,2016,1380
Mathematics,Saudi Arabia,2016,10230
Mathematics,South Korea,2016,220
Mathematics,India,2016,470
Mathematics,Kuwait,2016,410
Mathematics,Vietnam,2016,240
Mathematics,Canada,2016,110
Mathematics,Nepal,2016,90
Mathematics,Malaysia,2016,180
Mathematics,Nigeria,2016,80
Mathematics,Mexico,2016,110
Mathematics,Japan,2016,90
Mathematics,Indonesia,2016,180
Mathematics,Taiwan,2016,40
Mathematics,Brazil,2016,170
Mathematics,Hong Kong,2016,80
Mathematics,Turkey,2016,50
Mathematics,Oman,2016,80
Mathematics,Venezuela,2016,80
Mathematics,United Kingdom,2016,30
Mathematics,Other locations,2016,1480
Mathematics,All locations,2017,18110
Mathematics,China,2017,11910
Mathematics,Saudi Arabia,2017,1800
Mathematics,South Korea,2017,200
Mathematics,India,2017,470
Mathematics,Kuwait,2017,350
Mathematics,Vietnam,2017,310
Mathematics,Canada,2017,120
Mathematics,Nepal,2017,100
Mathematics,Malaysia,2017,170
Mathematics,Nigeria,2017,110
Mathematics,Mexico,2017,90
Mathematics,Japan,2017,80
Mathematics,Indonesia,2017,200
Mathematics,Taiwan,2017,180
Mathematics,Brazil,2017,60
Mathematics,Hong Kong,2017,50
Mathematics,Turkey,2017,80
Mathematics,Oman,2017,90
Mathematics,Venezuela,2017,70
Mathematics,United Kingdom,2017,30
Mathematics,Other locations,2017,1610
Physical sciences,All locations,2016,18210
Physical sciences,China,2016,2310
Physical sciences,Saudi Arabia,2016,7500
Physical sciences,South Korea,2016,790
Physical sciences,India,2016,570
Physical sciences,Kuwait,2016,560
Physical sciences,Vietnam,2016,540
Physical sciences,Canada,2016,430
Physical sciences,Nepal,2016,700
Physical sciences,Malaysia,2016,320
Physical sciences,Nigeria,2016,190
Physical sciences,Mexico,2016,150
Physical sciences,Japan,2016,170
Physical sciences,Indonesia,2016,660
Physical sciences,Taiwan,2016,90
Physical sciences,Brazil,2016,160
Physical sciences,Hong Kong,2016,140
Physical sciences,Turkey,2016,110
Physical sciences,Oman,2016,70
Physical sciences,Venezuela,2016,140
Physical sciences,United Kingdom,2016,90
Physical sciences,Other locations,2016,2520
Physical sciences,All locations,2017,18140
Physical sciences,China,2017,7430
Physical sciences,Saudi Arabia,2017,2280
Physical sciences,South Korea,2017,800
Physical sciences,India,2017,600
Physical sciences,Kuwait,2017,500
Physical sciences,Vietnam,2017,520
Physical sciences,Canada,2017,490
Physical sciences,Nepal,2017,730
Physical sciences,Malaysia,2017,310
Physical sciences,Nigeria,2017,200
Physical sciences,Mexico,2017,150
Physical sciences,Japan,2017,190
Physical sciences,Indonesia,2017,180
Physical sciences,Taiwan,2017,690
Physical sciences,Brazil,2017,110
Physical sciences,Hong Kong,2017,110
Physical sciences,Turkey,2017,130
Physical sciences,Oman,2017,70
Physical sciences,Venezuela,2017,130
Physical sciences,United Kingdom,2017,80
Physical sciences,Other locations,2017,2450
Psychology,All locations,2016,3360
Psychology,China,2016,310
Psychology,Saudi Arabia,2016,810
Psychology,South Korea,2016,40
Psychology,India,2016,280
Psychology,Kuwait,2016,110
Psychology,Vietnam,2016,100
Psychology,Canada,2016,10
Psychology,Nepal,2016,30
Psychology,Malaysia,2016,360
Psychology,Nigeria,2016,30
Psychology,Mexico,2016,70
Psychology,Japan,2016,40
Psychology,Indonesia,2016,10
Psychology,Taiwan,2016,20
Psychology,Brazil,2016,20
Psychology,Hong Kong,2016,30
Psychology,Turkey,2016,50
Psychology,Oman,2016,20
Psychology,Venezuela,2016,50
Psychology,United Kingdom,2016,60
Psychology,Other locations,2016,900
Psychology,All locations,2017,3340
Psychology,China,2017,860
Psychology,Saudi Arabia,2017,320
Psychology,South Korea,2017,60
Psychology,India,2017,260
Psychology,Kuwait,2017,110
Psychology,Vietnam,2017,110
Psychology,Canada,2017,10
Psychology,Nepal,2017,20
Psychology,Malaysia,2017,360
Psychology,Nigeria,2017,30
Psychology,Mexico,2017,80
Psychology,Japan,2017,40
Psychology,Indonesia,2017,40
Psychology,Taiwan,2017,10
Psychology,Brazil,2017,20
Psychology,Hong Kong,2017,50
Psychology,Turkey,2017,30
Psychology,Oman,2017,20
Psychology,Venezuela,2017,50
Psychology,United Kingdom,2017,50
Psychology,Other locations,2017,840
Social sciences,All locations,2016,20070
Social sciences,China,2016,1300
Social sciences,Saudi Arabia,2016,7080
Social sciences,South Korea,2016,330
Social sciences,India,2016,1640
Social sciences,Kuwait,2016,500
Social sciences,Vietnam,2016,300
Social sciences,Canada,2016,280
Social sciences,Nepal,2016,210
Social sciences,Malaysia,2016,520
Social sciences,Nigeria,2016,340
Social sciences,Mexico,2016,510
Social sciences,Japan,2016,410
Social sciences,Indonesia,2016,50
Social sciences,Taiwan,2016,220
Social sciences,Brazil,2016,190
Social sciences,Hong Kong,2016,260
Social sciences,Turkey,2016,300
Social sciences,Oman,2016,180
Social sciences,Venezuela,2016,330
Social sciences,United Kingdom,2016,420
Social sciences,Other locations,2016,4690
Social sciences,All locations,2017,19850
Social sciences,China,2017,7160
Social sciences,Saudi Arabia,2017,1330
Social sciences,South Korea,2017,320
Social sciences,India,2017,1600
Social sciences,Kuwait,2017,430
Social sciences,Vietnam,2017,300
Social sciences,Canada,2017,260
Social sciences,Nepal,2017,210
Social sciences,Malaysia,2017,500
Social sciences,Nigeria,2017,320
Social sciences,Mexico,2017,470
Social sciences,Japan,2017,420
Social sciences,Indonesia,2017,200
Social sciences,Taiwan,2017,60
Social sciences,Brazil,2017,230
Social sciences,Hong Kong,2017,330
Social sciences,Turkey,2017,260
Social sciences,Oman,2017,170
Social sciences,Venezuela,2017,310
Social sciences,United Kingdom,2017,410
Social sciences,Other locations,2017,4580
Non-S&E,All locations,2016,145270
Non-S&E,China,2016,21590
Non-S&E,Saudi Arabia,2016,46890
Non-S&E,South Korea,2016,1590
Non-S&E,India,2016,11140
Non-S&E,Kuwait,2016,6700
Non-S&E,Vietnam,2016,4410
Non-S&E,Canada,2016,920
Non-S&E,Nepal,2016,1470
Non-S&E,Malaysia,2016,6680
Non-S&E,Nigeria,2016,2620
Non-S&E,Mexico,2016,1400
Non-S&E,Japan,2016,1830
Non-S&E,Indonesia,2016,240
Non-S&E,Taiwan,2016,900
Non-S&E,Brazil,2016,1800
Non-S&E,Hong Kong,2016,1290
Non-S&E,Turkey,2016,2280
Non-S&E,Oman,2016,1330
Non-S&E,Venezuela,2016,1260
Non-S&E,United Kingdom,2016,1670
Non-S&E,Other locations,2016,27260
Non-S&E,All locations,2017,138610
Non-S&E,China,2017,45410
Non-S&E,Saudi Arabia,2017,19260
Non-S&E,South Korea,2017,1510
Non-S&E,India,2017,10410
Non-S&E,Kuwait,2017,5640
Non-S&E,Vietnam,2017,4230
Non-S&E,Canada,2017,810
Non-S&E,Nepal,2017,1390
Non-S&E,Malaysia,2017,6330
Non-S&E,Nigeria,2017,2920
Non-S&E,Mexico,2017,1470
Non-S&E,Japan,2017,1690
Non-S&E,Indonesia,2017,1780
Non-S&E,Taiwan,2017,240
Non-S&E,Brazil,2017,900
Non-S&E,Hong Kong,2017,2460
Non-S&E,Turkey,2017,1300
Non-S&E,Oman,2017,1190
Non-S&E,Venezuela,2017,1200
Non-S&E,United Kingdom,2017,1600
Non-S&E,Other locations,2017,26870
