Mathematics,2003,U.S. citizen or permanent resident,12057
Mathematics,2004,U.S. citizen or permanent resident,12524
Mathematics,2005,U.S. citizen or permanent resident,12768
Mathematics,2006,U.S. citizen or permanent resident,13219
Mathematics,2007,U.S. citizen or permanent resident,13432
Mathematics,2008,U.S. citizen or permanent resident,13235
Mathematics,2009,U.S. citizen or permanent resident,13911
Mathematics,2010,U.S. citizen or permanent resident,14521
Mathematics,2011,U.S. citizen or permanent resident,14651
Mathematics,2012,U.S. citizen or permanent resident,14740
Mathematics,2013,U.S. citizen or permanent resident,14362
Mathematics,2014,U.S. citizen or permanent resident,14440
Mathematics,2015,U.S. citizen or permanent resident,14025
Medical and other health sciences,2000,U.S. citizen or permanent resident,74243
Medical and other health sciences,2001,U.S. citizen or permanent resident,74129
Medical and other health sciences,2002,U.S. citizen or permanent resident,78297
Medical and other health sciences,2003,U.S. citizen or permanent resident,84924
Medical and other health sciences,2004,U.S. citizen or permanent resident,91196
Medical and other health sciences,2005,U.S. citizen or permanent resident,96217
Medical and other health sciences,2006,U.S. citizen or permanent resident,103022
Medical and other health sciences,2007,U.S. citizen or permanent resident,95203
Medical and other health sciences,2008,U.S. citizen or permanent resident,93669
Medical and other health sciences,2009,U.S. citizen or permanent resident,77306
Medical and other health sciences,2010,U.S. citizen or permanent resident,68089
Medical and other health sciences,2011,U.S. citizen or permanent resident,58363
Medical and other health sciences,2012,U.S. citizen or permanent resident,58354
Medical and other health sciences,2013,U.S. citizen or permanent resident,55071
Medical and other health sciences,2014,U.S. citizen or permanent resident,56797
Medical and other health sciences,2015,U.S. citizen or permanent resident,59322
Physical sciences,2000,U.S. citizen or permanent resident,18730
Physical sciences,2001,U.S. citizen or permanent resident,18835
Physical sciences,2002,U.S. citizen or permanent resident,19251
Physical sciences,2003,U.S. citizen or permanent resident,20171
Physical sciences,2004,U.S. citizen or permanent resident,21148
Physical sciences,2005,U.S. citizen or permanent resident,21675
Physical sciences,2006,U.S. citizen or permanent resident,22144
Physical sciences,2007,U.S. citizen or permanent resident,22417
Physical sciences,2008,U.S. citizen or permanent resident,22556
Physical sciences,2009,U.S. citizen or permanent resident,23071
Physical sciences,2010,U.S. citizen or permanent resident,23652
Physical sciences,2011,U.S. citizen or permanent resident,24138
Physical sciences,2012,U.S. citizen or permanent resident,24277
Physical sciences,2013,U.S. citizen or permanent resident,24426
Physical sciences,2014,U.S. citizen or permanent resident,24676
Physical sciences,2015,U.S. citizen or permanent resident,24509
Psychology,2000,U.S. citizen or permanent resident,48203
Psychology,2001,U.S. citizen or permanent resident,47933
Psychology,2002,U.S. citizen or permanent resident,48295
Psychology,2003,U.S. citizen or permanent resident,49055
Psychology,2004,U.S. citizen or permanent resident,50932
Psychology,2005,U.S. citizen or permanent resident,54228
Psychology,2006,U.S. citizen or permanent resident,54802
Psychology,2007,U.S. citizen or permanent resident,56574
Psychology,2008,U.S. citizen or permanent resident,55912
Psychology,2009,U.S. citizen or permanent resident,53246
Psychology,2010,U.S. citizen or permanent resident,50332
Psychology,2011,U.S. citizen or permanent resident,51398
Psychology,2012,U.S. citizen or permanent resident,51016
Psychology,2013,U.S. citizen or permanent resident,51042
Psychology,2014,U.S. citizen or permanent resident,45868
Psychology,2015,U.S. citizen or permanent resident,46631
Social sciences,2000,U.S. citizen or permanent resident,67004
Social sciences,2001,U.S. citizen or permanent resident,68664
Social sciences,2002,U.S. citizen or permanent resident,72153
Social sciences,2003,U.S. citizen or permanent resident,76865
Social sciences,2004,U.S. citizen or permanent resident,78957
Social sciences,2005,U.S. citizen or permanent resident,81348
Social sciences,2006,U.S. citizen or permanent resident,83537
Social sciences,2007,U.S. citizen or permanent resident,84779
Social sciences,2008,U.S. citizen or permanent resident,84190
Social sciences,2009,U.S. citizen or permanent resident,88437
Social sciences,2010,U.S. citizen or permanent resident,89647
Social sciences,2011,U.S. citizen or permanent resident,91241
Social sciences,2012,U.S. citizen or permanent resident,87101
Social sciences,2013,U.S. citizen or permanent resident,85570
Social sciences,2014,U.S. citizen or permanent resident,83693
Social sciences,2015,U.S. citizen or permanent resident,80646
All S&E,2000,Temporary visa holder,128417
All S&E,2001,Temporary visa holder,140870
All S&E,2002,Temporary visa holder,152988
All S&E,2003,Temporary visa holder,155016
All S&E,2004,Temporary visa holder,151245
All S&E,2005,Temporary visa holder,147496
All S&E,2006,Temporary visa holder,151018
All S&E,2007,Temporary visa holder,156912
All S&E,2008,Temporary visa holder,165244
All S&E,2009,Temporary visa holder,168850
All S&E,2010,Temporary visa holder,171002
All S&E,2011,Temporary visa holder,173453
All S&E,2012,Temporary visa holder,180563
All S&E,2013,Temporary visa holder,193628
All S&E,2014,Temporary visa holder,223940
All S&E,2015,Temporary visa holder,240183
Engineering,2000,Temporary visa holder,47461
Engineering,2001,Temporary visa holder,52603
Engineering,2002,Temporary visa holder,58391
Engineering,2003,Temporary visa holder,60067
Engineering,2004,Temporary visa holder,57187
Engineering,2005,Temporary visa holder,54014
Engineering,2006,Temporary visa holder,55343
Engineering,2007,Temporary visa holder,59483
Engineering,2008,Temporary visa holder,62540
Engineering,2009,Temporary visa holder,64842
Engineering,2010,Temporary visa holder,65699
Engineering,2011,Temporary visa holder,66420
Engineering,2012,Temporary visa holder,70353
Engineering,2013,Temporary visa holder,76672
Engineering,2014,Temporary visa holder,89819
Engineering,2015,Temporary visa holder,95267
Agricultural sciences,2000,Temporary visa holder,2411
Agricultural sciences,2001,Temporary visa holder,2513
Agricultural sciences,2002,Temporary visa holder,2613
Agricultural sciences,2003,Temporary visa holder,2596
Agricultural sciences,2004,Temporary visa holder,2695
Agricultural sciences,2005,Temporary visa holder,2659
Agricultural sciences,2006,Temporary visa holder,2675
Agricultural sciences,2007,Temporary visa holder,2897
Agricultural sciences,2008,Temporary visa holder,3106
Agricultural sciences,2009,Temporary visa holder,3262
Agricultural sciences,2010,Temporary visa holder,3240
Agricultural sciences,2011,Temporary visa holder,3427
Agricultural sciences,2012,Temporary visa holder,3558
Agricultural sciences,2013,Temporary visa holder,3656
Agricultural sciences,2014,Temporary visa holder,3901
Agricultural sciences,2015,Temporary visa holder,4144
Biological sciences,2000,Temporary visa holder,11761
Biological sciences,2001,Temporary visa holder,12443
Biological sciences,2002,Temporary visa holder,13835
Biological sciences,2003,Temporary visa holder,14836
Biological sciences,2004,Temporary visa holder,15831
Biological sciences,2005,Temporary visa holder,16467
Biological sciences,2006,Temporary visa holder,16907
Biological sciences,2007,Temporary visa holder,16958
Biological sciences,2008,Temporary visa holder,17932
Biological sciences,2009,Temporary visa holder,17756
Biological sciences,2010,Temporary visa holder,17897
Biological sciences,2011,Temporary visa holder,18166
Biological sciences,2012,Temporary visa holder,18402
Biological sciences,2013,Temporary visa holder,18326
Biological sciences,2014,Temporary visa holder,18325
Biological sciences,2015,Temporary visa holder,18357
